username,duration,distance_traversed,deviation,path_id,pixel_cm_ratio
kwasi,231,1063.8,349.5,1,51.2
kwasi,230,1063.8,349.5,1,51.2
kwasi,231,1063.8,349.5,1,58.1
kwasi,251,1063.8,349.5,1,58.1
kwasi,261,1063.8,349.5,1,58.1
kwasi,266,1063.8,349.5,1,51.2
kwasi,257,1063.8,349.5,1,51.2
kwasi,255,1063.8,349.5,1,51.2
bvc,239,1063.8,349.5,1,54.6
bvc,242,1063.8,349.5,1,54.6
bvc,243,1063.0,368.3,1,54.6
bvc,253,1071.9,349.5,1,58.2
bvc,251,1063.8,349.5,1,58.2
dsf,234,1063.8,349.5,1,51.4
dsf,243,1063.8,365.8,1,51.4
dsf,274,1063.8,349.5,1,51.4
dsf,311,1063.0,357.3,1,0
dsf,386,1071.1,420.0,1,24
dsf,342,1071.1,386.2,1,100
dsf,368,1071.9,408.9,1,5858.7
dsf,264,1063.8,349.5,1,5858.7
dsf,245,1063.8,349.5,1,5858.7
dsf,260,1063.8,365.8,1,5858.7
dsf,344,1063.0,360.4,1,5858.7
dsf,353,1063.8,378.7,1,5858.7
dsf,283,1063.8,358.1,1,58.6
dsf,269,1071.9,359.9,1,58.0
dsf,306,1065.4,376.6,1,58.6
dsf,342,1071.1,353.7,1,58.0
dsf,342,1063.8,359.8,1,58.6
dsf,342,1063.8,383.4,1,58.0
dsf,264,1065.4,375.6,1,57.4
dsf,327,1063.8,349.5,1,58.6
dsf,328,1071.9,349.5,1,58.6
dsf,243,1063.8,349.5,1,58.6
dsf,251,1063.8,349.5,1,58.6
bvc,282,1063.8,349.5,1,58.6
kwasi,28,1053.5,68.0,1,58.6
kwasi,52,1051.6,143.3,1,58.6
kwasi,52,1053.5,143.8,1,58.6
kwasi,52,1053.7,127.7,1,58.6
kwasi,53,1054.1,135.2,1,58.6
kwasi,50,1061.1,117.1,1,58.6
kwasi,45,1049.3,104.3,1,58.6
kwasi,50,1061.5,114.8,1,58.6
kwasi,50,1045.2,128.4,1,58.6
kwasi,51,1057.4,132.6,1,58.6
bvc,250,1063.8,349.5,1,58.6
bvc,281,1063.8,349.5,1,58.6
